Emp ID,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Role
1,18-25,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,Single,1420,Upto 5k,1,No,13,3,0,0,2,3,0,0,0,0,Research & Development_Laboratory Technician
2,18-25,No,Travel_Rarely,Sales,10,3,Medical,4,Female,2,1,Sales Representative,3,Single,1200,Upto 5k,1,No,12,3,0,0,2,3,0,0,0,0,Sales_Sales Representative
3,18-25,Yes,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,Upto 5k,1,Yes,14,3,0,0,3,3,0,0,0,0,Sales_Sales Representative
4,18-25,No,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,3,1,Research Scientist,4,Single,1051,Upto 5k,1,No,15,3,0,0,2,3,0,0,0,0,Research & Development_Research Scientist
5,18-25,Yes,Non-Travel,Research & Development,8,1,Medical,3,Male,3,1,Laboratory Technician,3,Single,1904,Upto 5k,1,No,12,3,0,0,0,3,0,0,0,0,Research & Development_Laboratory Technician
6,18-25,No,Non-Travel,Research & Development,1,3,Life Sciences,4,Female,3,1,Laboratory Technician,4,Single,1611,Upto 5k,1,No,15,3,0,0,5,4,0,0,0,0,Research & Development_Laboratory Technician
7,18-25,Yes,Travel_Frequently,Sales,3,2,Medical,2,Female,3,1,Sales Representative,4,Single,1569,Upto 5k,1,Yes,12,3,0,0,2,4,0,0,0,0,Sales_Sales Representative
8,18-25,No,Non-Travel,Research & Development,14,3,Medical,2,Female,3,1,Research Scientist,3,Single,1514,Upto 5k,1,No,16,3,0,0,4,1,0,0,0,0,Research & Development_Research Scientist
9,18-25,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,Upto 5k,1,Yes,19,3,0,0,2,2,0,0,0,0,Sales_Sales Representative
10,18-25,No,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,Upto 5k,1,No,14,3,0,1,3,3,1,0,0,0,Research & Development_Laboratory Technician
11,18-25,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,Upto 5k,0,No,21,4,0,1,5,4,0,0,0,0,Sales_Sales Representative
12,18-25,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,1102,Upto 5k,1,No,22,4,0,1,3,2,1,0,1,0,Research & Development_Laboratory Technician
13,18-25,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,2564,Upto 5k,1,No,12,3,0,1,3,4,1,0,0,0,Human Resources_Human Resources
14,18-25,Yes,Travel_Rarely,Sales,21,3,Other,4,Male,2,1,Sales Representative,2,Single,2121,Upto 5k,1,Yes,13,3,0,1,3,4,1,0,0,0,Sales_Sales Representative
15,18-25,No,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Male,3,1,Research Scientist,1,Single,2552,Upto 5k,1,No,25,4,0,1,4,3,1,1,0,0,Research & Development_Research Scientist
16,18-25,Yes,Non-Travel,Research & Development,10,3,Medical,1,Female,2,1,Research Scientist,2,Single,1859,Upto 5k,1,Yes,25,4,0,1,2,4,1,1,0,0,Research & Development_Research Scientist
17,18-25,No,Travel_Rarely,Research & Development,25,3,Life Sciences,2,Female,4,1,Research Scientist,4,Single,2994,Upto 5k,1,Yes,12,3,0,1,2,3,1,0,0,1,Research & Development_Research Scientist
18,18-25,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,Upto 5k,1,Yes,18,3,0,1,5,3,1,0,1,0,Research & Development_Laboratory Technician
19,18-25,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,1,Research Scientist,2,Single,2836,Upto 5k,1,No,13,3,0,1,0,4,1,0,0,0,Research & Development_Research Scientist
